Rafael;16821028 1831;Lonquimay;Kiribati
Amos;16620922 7641;Liberia;Sao Tome and Principe
Myles;16980618 8943;Huelva;Kenya
Troy;16000401 2688;Minucciano;Comoros
John;16370711 9438;Cervinara;Liberia
Alan;16920903 4629;Burns Lake;Seychelles
Keaton;16830506 3870;Montgomery;Zimbabwe
Alec;16461115 6987;Serang;Nepal
Leroy;16720622 4656;Oviedo;Puerto Rico
Erich;16740318 7896;Hoeilaart;Bermuda
Cyrus;16410406 9192;Kerkhove;Cameroon
Yoshio;16300707 3384;Acquafondata;Northern Mariana Islands
Tiger;16340614 6104;Parchim	City;Saint Vincent and The Grenadines
Duncan;16010410 2272;Uruapan;Panama
Ivan;16450305 8788;Corral;Isle of Man
Ezekiel;16471226 3963;Groot-Bijgaarden;Central African Republic
Graham;16700710 6235;Jamshoro;Nauru
Geoffrey;16060316 6018;Tubeke Tubize;Oman
Deacon;16141220 6359;Sint-Andries;Botswana
Kasper;16491012 6954;Viranşehir;Hungary
Herman;16600818 9778;Boise;Iceland
Nasim;16510921 3677;Exeter;Saint Martin
Bradley;16120123 2921;Drongen;Zimbabwe
Alan;16860120 4723;Beerst;Germany
Barry;16170813 2616;Neuville;Saint Lucia
Carson;16051218 9804;Borchtlombeek;Myanmar
Emmanuel;16481106 1094;Wetaskiwin;Kiribati
Leonard;16420112 3504;Gaggio Montano;Sao Tome and Principe
Arsenio;16141019 4409;Eigenbrakel;Mauritania
Harper;16940915 1116;Liévin;Chile
Ciaran;16220804 3139;Boston;Angola
Flynn;16650503 8288;Lota;Ukraine
Conan;16131118 4806;Travo;Sweden
Ray;16810814 1907;Asse;Macedonia
Micah;16690428 5175;Goderich;Jamaica
Demetrius;16240904 9596;Loppem;Albania
Colt;16700610 6954;Lille;Argentina
Caleb;16110928 9460;North Battleford;Brazil
Hammett;16790509 2529;Cuenca;Saint Helena, Ascension and Tristan da Cunha
Dustin;16151021 6326;Joliet;Estonia
Rashad;16860505 7002;Baricella;Russian Federation
Ali;16420319 7555;Seydişehir;Pakistan
Kasper;16990108 7909;Ottawa-Carleton;Greenland
Ishmael;16691112 6339;Reading;Sao Tome and Principe
Gavin;16300708 5503;Caldarola;Iraq
Silas;16381016 5450;Gellik;Grenada
Brady;16580322 1562;Huizingen;Bhutan
Josiah;16970601 7481;Elbląg;Portugal
Jameson;16720229 7888;Corozal;Virgin Islands, United States
Ignatius;16651105 3396;Tamworth;Timor-Leste
Ezra;16930129 0228;Cascavel;Jordan
Odysseus;16460413 4934;Sint-Pieters-Leeuw;El Salvador
Tobias;16100924 2452;Potsdam;Pakistan
Lucas;16741027 4216;Mandela;Turkmenistan
Raphael;16521217 7090;Subiaco;Colombia
Abbot;16830222 4624;Hillsboro;Tajikistan
Yoshio;16601023 4190;Kent;Antigua and Barbuda
Ezra;16731115 4095;Diets-Heur;Aruba
Zahir;16400417 0934;Calais;Uganda
Basil;16880523 4997;San Pedro de Atacama;Qatar
Walker;16310420 4270;Shchyolkovo;Belgium
Drake;16870302 0381;Tauranga;Costa Rica
Vaughan;16030510 3020;Baarle-Hertog;United Arab Emirates
Jin;16230428 8166;Springfield;Guadeloupe
Kevin;16491217 9423;Thuin;Gambia
Abraham;16911121 3238;Kirkwall;Guam
Dieter;16750905 7670;Stamford;Sri Lanka
Zachary;16650310 6889;Genk;Chile
Drew;16810824 0709;Goutroux;Holy See (Vatican City State)
Daniel;16010522 3291;Juliaca;Iceland
Elliott;16750908 1324;Millet;Finland
Grant;16840925 0100;Pierrefonds;Mauritania
Ivor;16350516 8116;Vienna;Spain
Ralph;16631124 6950;Rimbey;Bahamas
Garrison;16890715 5918;Kolmont;Comoros
Talon;16180308 3128;Chillán;Norfolk Island
Thane;16850627 9945;Yamuna Nagar;Romania
Derek;16280302 3015;Dunoon;Panama
Zephania;16900617 1962;Chennai;Swaziland
Zachery;16910125 8771;Heppignies;Virgin Islands, United States
Price;16711028 5785;Vitry-sur-Seine;Niger
Tyler;16460228 3428;Bahawalnagar;Holy See (Vatican City State)
